Theta,Mearsured R,Diffuse model (cos),Estimated Specular
-45,"0,0056878792731271","0,00424264068711929","0,00144523858600781"
-44,"0,00562327540790076","0,00431603880203191","0,00130723660586885"
-43,"0,00539976757580815","0,00438812220971502","0,00101164536609312"
-42,"0,00581586861756461","0,00445886895286437","0,00135699966470025"
-41,"0,00586888929290429","0,00452825748133663","0,00134063181156766"
-40,"0,00585353375173814","0,00459626665871387","0,00125726709302427"
-39,"0,00593699807010202","0,00466287576874183","0,0012741223013602"
-38,"0,00595712586575462","0,00472806452164033","0,00122906134411429"
-37,"0,0060605992811894","0,00479181306028376","0,00126878622090565"
-36,"0,00616432989131939","0,00485410196624969","0,0013102279250697"
-35,"0,00623316018137961","0,00491491226573395","0,00131824791564565"
-34,"0,00620849833970096","0,00497422543533025","0,00123427290437071"
-33,"0,00627285028984886","0,00503202340767254","0,00124082688217631"
-32,"0,00635208543133224","0,00508828857693856","0,00126379685439368"
-31,"0,00634715354223323","0,00514300380421267","0,00120414973802055"
-30,"0,00641021842892732","0,00519615242270663","0,00121406600622068"
-29,"0,00634168290715896","0,00524771824283637","0,00109396466432259"
-28,"0,00646585881993771","0,00529768555715356","0,00116817326278415"
-27,"0,00644093421053686","0,00534603914513021","0,00109489506540666"
-26,"0,00655022781162167","0,005392764277795","0,00115746353382667"
-25,"0,00645585001224039","0,0054378467222199","0,00101800329002049"
-24,"0,00654345462009032","0,00548127274585561","0,00106218187423472"
-23,"0,00664389922231883","0,00552302912071464","0,00112087010160418"
-22,"0,00656467800014646","0,00556310312740072","0,00100157487274574"
-21,"0,00667033160978489","0,00560148255898321","0,00106884905080167"
-20,"0,00668736975025996","0,00563815572471545","0,0010492140255445"
-19,"0,00671891869970044","0,0056731114535959","0,00104580724610454"
-18,"0,00658015587217167","0,00570633909777092","0,000873816774400752"
-17,"0,00680164677459385","0,00573782853577821","0,00106381823881563"
-16,"0,00664408683813429","0,00576757017562991","0,000876516662504376"
-15,"0,00672316679918463","0,00579555495773441","0,000927611841450216"
-14,"0,00665108483022083","0,00582177435765598","0,000829310472564847"
-13,"0,0066747881330552","0,00584622038871141","0,000828567744343787"
-12,"0,00670280011575034","0,00586888560440283","0,000833914511347502"
-11,"0,00665529263175304","0,00588976310068598","0,000765529531067058"
-10,"0,00661915915617442","0,00590884651807325","0,000710312638101172"
-9,"0,00675991404538297","0,00592613004357083","0,000833784001812147"
-8,"0,00669952916545019","0,00594160841244942","0,000757920753000768"
-7,"0,00678778538087871","0,00595527690984793","0,000832508471030777"
-6,"0,00672155472084977","0,00596713137220964","0,000754423348640133"
-5,"0,00665521115915346","0,00597716818855047","0,000678042970602983"
-4,"0,00664548961539819","0,00598538430155895","0,00066010531383924"
-3,"0,00664616887777551","0,00599177720852744","0,00065439166924807"
-2,"0,00668309136117666","0,00599634496211457","0,000686746399062084"
-1,"0,00667902754217589","0,00599908617093835","0,000679941371237545"
0,"0,00663172549660393","0,006","0,00063172549660393"
1,"0,00675703246343115","0,00599908617093835","0,000757946292492803"
2,"0,00650953057368729","0,00599634496211457","0,00051318561157272"
3,"0,00656356757790468","0,00599177720852744","0,000571790369377235"
4,"0,00651939021762899","0,00598538430155895","0,000534005916070049"
5,"0,00658904770715526","0,00597716818855047","0,000611879518604788"
6,"0,00653810961821323","0,00596713137220964","0,000570978246003595"
7,"0,00648567573683748","0,00595527690984793","0,00053039882698955"
8,"0,00641127468162947","0,00594160841244942","0,000469666269180051"
9,"0,00644456780941079","0,00592613004357083","0,00051843776583996"
10,"0,00634328611896635","0,00590884651807325","0,0004344396008931"
11,"0,00641592681054707","0,00588976310068598","0,000526163709861082"
12,"0,00639408755474112","0,00586888560440283","0,000525201950338282"
13,"0,00635316876438538","0,00584622038871141","0,000506948375673965"
14,"0,00626507417852337","0,00582177435765598","0,000443299820867392"
15,"0,00613511772523823","0,00579555495773441","0,000339562767503823"
16,"0,0061790884976039","0,00576757017562991","0,000411518321973983"
17,"0,00628491857464708","0,00573782853577821","0,000547090038868867"
18,"0,0060773178513698","0,00570633909777092","0,00037097875359888"
19,"0,00607165210437874","0,0056731114535959","0,000398540650782836"
20,"0,00608411198402587","0,00563815572471545","0,000445956259310414"
21,"0,00597830016794037","0,00560148255898321","0,000376817608957163"
22,"0,00555101230053547","0,00556310312740072","-1,20908268652544E-05"
23,"0,00596743896697137","0,00552302912071464","0,000444409846256725"
24,"0,00589433754531243","0,00548127274585561","0,000413064799456821"
25,"0,00579529480240976","0,0054378467222199","0,00035744808018986"
26,"0,005802796763699","0,005392764277795","0,000410032485903994"
27,"0,00561450260202727","0,00534603914513021","0,000268463456897066"
28,"0,00562427006212816","0,00529768555715356","0,000326584504974594"
29,"0,00548780436397742","0,00524771824283637","0,000240086121141044"
30,"0,00559930041425571","0,00519615242270663","0,000403147991549072"
31,"0,00550546540142682","0,00514300380421267","0,000362461597214147"
32,"0,00537162746946386","0,00508828857693856","0,000283338892525308"
33,"0,00528112123114083","0,00503202340767254","0,00024909782346829"
34,"0,00546341942143577","0,00497422543533025","0,000489193986105523"
35,"0,00527052440988281","0,00491491226573395","0,00035561214414886"
36,"0,00506946206016284","0,00485410196624969","0,000215360093913159"
37,"0,00508343668968594","0,00479181306028376","0,000291623629402185"
38,"0,00512475540624182","0,00472806452164033","0,000396690884601492"
39,"0,00505967432103174","0,00466287576874183","0,00039679855228991"
40,"0,00514604241021372","0,00459626665871387","0,000549775751499853"
41,"0,00511679956872216","0,00452825748133663","0,000588542087385532"
42,"0,0048306385422306","0,00445886895286437","0,000371769589366234"
43,"0,00484808262036335","0,00438812220971502","0,000459960410648325"
44,"0,00441931753059266","0,00431603880203191","0,000103278728560753"
45,"0,00473649667200878","0,00424264068711929","0,00049385598488949"
46,"0,0044637179402945","0,00416795022275399","0,000295767717540519"
47,"0,00468501661826897","0,00409199016037499","0,000593026457893978"
48,"0,00456238432833309","0,00401478363815315","0,00054760069017994"
49,"0,00442572705153399","0,00393635417394304","0,000489372877590941"
50,"0,00442003097346969","0,00385672565811924","0,00056330531535045"
51,"0,00385058046996588","0,00377592234629903","7,46581236668537E-05"
52,"0,00426713686776249","0,00369396885195395","0,000573168015808535"
53,"0,00371006349795319","0,00361089013891229","9,91733590409031E-05"
54,"0,0037331497703192","0,00352671151375484","0,00020643825656436"
55,"0,0039081195762553","0,00344145861810628","0,000466660958149024"
56,"0,0033156140146249","0,00335515742082448","-3,95434061995813E-05"
57,"0,00329555878103288","0,00326783421009016","2,77245709427191E-05"
58,"0,00317867426792782","0,00317951558539923","-8,4131747140909E-07"
59,"0,00314268890065281","0,00309022844946033","5,24604511924825E-05"
60,"0,00304474634633772","0,003","4,47463463377181E-05"
61,"0,00295926207947733","0,00290885772147802","5,04043579993068E-05"
62,"0,00272862381893096","0,00281682937671535","-8,82055577843873E-05"
63,"0,00277824411494038","0,00272394299843728","5,43011165030942E-05"
64,"0,00231774364124501","0,00263022688073447","-0,000312483239489452"
65,"0,00256051487724299","0,0025357095704442","2,48053067987905E-05"
66,"0,00233331468209746","0,0024404198584548","-0,000107105176357338"
67,"0,00223171767062205","0,00234438677093564","-0,000112669100313588"
68,"0,00209401472830846","0,00224763956049547","-0,000153624832187009"
69,"0,00200876083785831","0,0021502076972718","-0,000141446859413494"
70,"0,00193568940154738","0,00205212085995401","-0,000116431458406634"
71,"0,00195911795350261","0,00195340892674294","5,70902675966481E-06"
72,"0,00174914478674008","0,00185410196624968","-0,000104957179509605"
73,"0,00161542296380726","0,00175423022833642","-0,000138807264529158"
74,"0,00145656345289311","0,001653824134902","-0,000197260682008883"
75,"0,0013592811552777","0,00155291427061512","-0,000193633115337429"
76,"0,00138743455198634","0,00145153137359801","-6,40968216116635E-05"
77,"0,00131995657669433","0,00134970632606319","-2,97497493688633E-05"
78,"0,00113604115735974","0,00124747014490656","-0,000111428987546812"
79,"0,00110460002728531","0,00114485397225927","-4,02539449739596E-05"
80,"0,000869158045006024","0,00104188906600158","-0,000172731020995558"
81,"0,000930459957605463","0,000938606790241386","-8,14683263592234E-06"
82,"0,000704749630658145","0,000835038605760393","-0,000130288975102248"
83,"0,000728189788755833","0,000731216060430885","-3,02627167505186E-06"
84,"0,000481803694850173","0,000627170779605921","-0,000145367084755748"
85,"0,000501366515354915","0,00052293445648595","-2,15679411310352E-05"
86,"0,000324655133106016","0,000418538842464751","-9,38837093587352E-05"
87,"0,000306611843155258","0,000314015737457664","-7,40389430240617E-06"
88,"0,000228793529569668","0,000209396980215006","1,93965493546619E-05"
89,"5,95165410768955E-05","0,000104714438623702","-4,51978975468061E-05"
90,"8,00610813088701E-05","3,67394039744206E-19","8,00610813088698E-05"
