Theta,Mearsured R,Diffuse model (cos),Estimated Specular,,
12,"0,00635836851703019","0,00586888560440283","0,000489482912627358",,
13,"0,00648264208232813","0,00584622038871141","0,000636421693616715",,
14,"0,00629805098183049","0,00582177435765598","0,000476276624174507",,
15,"0,00618691446890991","0,00579555495773441","0,000391359511175503",,
16,"0,0061548827546366","0,00576757017562991","0,000387312579006685",,
17,"0,0062443215718774","0,00573782853577821","0,000506493036099188",,
18,"0,00614240058106561","0,00570633909777092","0,00043606148329469",,
19,"0,00612772207548496","0,0056731114535959","0,00045461062188906",,
20,"0,00611913321390476","0,00563815572471545","0,000480977489189311",,
21,"0,00601745722275946","0,00560148255898321","0,000415974663776251",,
22,"0,00594939704395574","0,00556310312740072","0,000386293916555013",,
23,"0,00589460658333606","0,00552302912071464","0,000371577462621414",,
24,"0,00591523142643155","0,00548127274585561","0,000433958680575947",,
25,"0,00585459561968834","0,0054378467222199","0,000416748897468443",,
26,"0,0057330567129811","0,005392764277795","0,000340292435186094",,
27,"0,00563460487806207","0,00534603914513021","0,000288565732931865",,
28,"0,00569332546059149","0,00529768555715356","0,000395639903437926",,
29,"0,00562997656883216","0,00524771824283637","0,000382258325995785",,
30,"0,00559945533102887","0,00519615242270663","0,000403302908322238",,
31,"0,00555781891125772","0,00514300380421267","0,000414815107045045",,
32,"0,00545865140295742","0,00508828857693856","0,000370362826018868",,
33,"0,00537836116789756","0,00503202340767254","0,000346337760225015",,
34,"0,00566370674822823","0,00497422543533025","0,000689481312897979",,
35,"0,00554754338823279","0,00491491226573395","0,000632631122498835",,
36,"0,00532609632044315","0,00485410196624969","0,000471994354193462",,Rows 36 to 54 have been generated as diffuse + noise 
37,"0,00525208576470946","0,00479181306028376","0,000460272704425707",,"Noise ~ N(0,0004; 0,0002)"
38,"0,00481032537968794","0,00472806452164033","8,22608580476111E-05",,
39,"0,00517713901132645","0,00466287576874183","0,000514263242584621",,
40,"0,00500870646938482","0,00459626665871387","0,000412439810670954",,
41,"0,00446157347623568","0,00452825748133663","-6,66840051009509E-05",,
42,"0,00464134022667561","0,00445886895286437","0,000182471273811239",,
43,"0,004926759678361","0,00438812220971502","0,000538637468645981",,
44,"0,00473924492545038","0,00431603880203191","0,000423206123418473",,
45,"0,00442545258980918","0,00424264068711929","0,000182811902689894",,
46,"0,00472874963360577","0,00416795022275399","0,00056079941085178",,
47,"0,00425130274397922","0,00409199016037499","0,000159312583604227",,
48,"0,00442359328295288","0,00401478363815315","0,000408809644799731",,
49,"0,00457884160569992","0,00393635417394304","0,000642487431756877",,
50,"0,00427613114101354","0,00385672565811924","0,000419405482894306",,
51,"0,00392988891836347","0,00377592234629903","0,000153966572064445",,
52,"0,00390083828294771","0,00369396885195395","0,000206869430993756",,
53,"0,00399482526471852","0,00361089013891229","0,000383935125806227",,
54,"0,00429177647103257","0,00352671151375484","0,000765064957277728",,
55,"0,00424323916039943","0,00344145861810628","0,000801780542293153",,
56,"0,00339184849881758","0,00335515742082448","3,66910779931004E-05",,
57,"0,00325759299958281","0,00326783421009016","-1,02412105073531E-05",,
58,"0,00316123086731835","0,00317951558539923","-1,82847180808824E-05",,
59,"0,00298897974262798","0,00309022844946033","-0,000101248706832346",,
60,"0,00295923013718083","0,003","-4,0769862819172E-05",,
61,"0,002883999808296","0,00290885772147802","-2,48579131820231E-05",,
62,"0,00276882278842153","0,00281682937671535","-4,80065882938197E-05",,
63,"0,00273493289785667","0,00272394299843728","1,0989899419393E-05",,
64,"0,00259073234437222","0,00263022688073447","-3,94945363622421E-05",,
65,"0,00251537533460785","0,0025357095704442","-2,03342358363473E-05",,
66,"0,00240860375433934","0,0024404198584548","-3,18161041154659E-05",,
67,"0,00229538088229859","0,00234438677093564","-4,90058886370558E-05",,
68,"0,00185819359622737","0,00224763956049547","-0,000389445964268101",,
69,"0,00182590718495622","0,0021502076972718","-0,000324300512315585",,
70,"0,0017284162209278","0,00205212085995401","-0,000323704639026213",,
71,"0,00192507938515398","0,00195340892674294","-2,83295415889609E-05",,
72,"0,00174535569517573","0,00185410196624968","-0,000108746271073952",,
73,"0,00169036192242203","0,00175423022833642","-6,38683059143899E-05",,
74,"0,00168422650173265","0,001653824134902","3,04023668306552E-05",,
75,"0,00147432058660359","0,00155291427061512","-7,85936840115332E-05",,
76,"0,00129897061062473","0,00145153137359801","-0,000152560762973281",,
77,"0,00135091586647961","0,00134970632606319","1,20954041641589E-06",,
78,"0,00111050311367064","0,00124747014490656","-0,000136967031235916",,
79,"0,00120714774404886","0,00114485397225927","6,22937717895946E-05",,
80,"0,000969540498538545","0,00104188906600158","-7,23485674630378E-05",,
81,"0,000979189457912365","0,000938606790241386","4,05826676709794E-05",,
82,"0,000894104845449106","0,000835038605760393","5,90662396887134E-05",,
83,"0,000736350672175735","0,000731216060430885","5,13461174484994E-06",,
84,"0,000620971149895092","0,000627170779605921","-6,19962971082897E-06",,
85,"0,000599611687981131","0,00052293445648595","7,66772314951811E-05",,
86,"0,000391311602509047","0,000418538842464751","-2,72272399557041E-05",,
87,"0,000498167631007832","0,000314015737457664","0,000184151893550168",,
88,"0,000290678243838966","0,000209396980215006","8,12812636239595E-05",,
89,"0,000286005255129385","0,000104714438623702","0,000181290816505683",,
90,"0,000302879917571567","3,67394039744206E-19","0,000302879917571566",,
